section,index,refs,original_bytes,soft_limit_bytes,original,translated
0,0,0 2 3 55 3 0,165,164,很多年以后，也许有人会记得我，或者记得费洛克这个名字，而我希望能够是她。二十四年前的故事里我是行侠仗义的剑士。,
0,1,0 2 3 80 3 0,240,239,二十四年前的我促成了科勒斯和她的神话，而我到底是谁，前世今身，奈何桥下，二十四年后的我用我的故事讲述了另一个我记忆中的科勒斯和爱伦的故事。而我，依然是那个剑士。,
0,2,0 2 3 13 3 0,39,38,故事得从二十四年前说起……,
1,0,0 2 2 4 3 0,69,68,扎昆山脉尚未开启，请按大地图上指示或查看任务！,
1,1,0 2 2 4 3 0,69,68,地下宫殿尚未开启，请按大地图上指示或查看任务！,
1,2,0 2 2 3 3 0,66,65,夜色岛尚未开启，请按大地图上指示或查看任务！,
1,3,0 2 2 4 3 0,69,68,艾尔森林尚未开启，请按大地图上指示或查看任务！,
1,4,0 2 2 4 3 0,69,68,冰封雪域尚未开启，请按大地图上指示或查看任务！,
2,0,,63,62,少女詹：爱伦说到外面看看，叫我在此等候你。,
2,1,,63,62,费洛克：喜欢这里吗？你看上去很高兴的样子。,
2,2,,102,101,少女詹：还好啊，这里的人虽然很奇怪，但他们都没敌意，比外面舒服多了。,
2,3,,84,83,巫师罗宁：我潜心研究魔法，这里的物品对您的帮助绝对很大。,
2,4,,141,140,坤桑：我是铁匠坤桑，负责为勇士岛上的勇士打造和强化装备，打造和强化材料可以在野外通过打怪获得。,
2,5,,60,59,球星法布：小伙子喜欢足球吗？猜猜我是谁？,
2,6,,18,17,费洛克：……,
2,7,,90,89,球星法布：我的两位队员在一次旅途中离散了，能帮我找到他们吗？,
2,8,,93,92,劳拉：在此岛上做生意真不容易啊，何时才能找到自己满意的工作呢？,
2,9,,108,107,流浪者：你好，勇士，欢迎来到一个新的国度，在这里你将体验非同一般的感觉。,
2,10,37 2 5 40 3 0,123,122,流浪者：此岛周围危险重重，所多人都被困在了这里，要是寻找出路的话，还得去找村长姜。,
2,11,,162,161,流浪者：此岛虽不大，但样样俱全，我是负责装备买卖，村落最东方的坤桑据说曾经是个猎人，但他现在做起了铁匠生意。,
2,12,,36,35,流浪者：进来看看装备吧。,
2,13,,78,77,村长姜：咳，咳，你是新来的吧，说吧，准备找什么工作？,
2,14,,63,62,费洛克：找工作？喂，老头，这里是什么地方？,
2,15,,60,59,村长姜：年轻人，不要急躁，听我慢慢说来。,
2,16,,156,155,村长姜：这里是勇士村落，迷失者避风的港湾，凡是来到这里的人都是迷失者，我是这里的村长姜，负责接待迷失者。,
2,17,,72,71,费洛克：迷失者？听起来很奇特，但我可不是迷失者。,
2,18,,57,56,村长姜：你虽不是迷失者，但你是迷路者。,
2,19,,123,122,村长姜：当迷失者来到我们勇士岛的时候，生存就是他们首要解决的问题，他们都会来找我。,
2,20,,255,254,村长姜：流浪者布克在勇士岛负责装备买卖；坤桑曾经是名猎人，但现在他做起了铁匠生意；巫师罗宁卖起了特殊物品；劳拉，宠物商人。还有最近来的几个迷失者，都在寻找适合他们的工作。,
2,21,,129,128,费洛克：（在此岛上生存还是问题，暂且问问他。）听起来不错啊，您把我们三个都找份工作吧。,
2,22,10 2 5 12 3 0 25 2 5 26 3 0,114,113,村长姜：三个？你是说爱伦和那任性但有点可爱的大小姐詹吧，你们可刚到岛上不久。,
2,23,,198,197,费洛克：对，就是她们，我和爱伦在勇士岛附近遇到了詹，就带她一起来了，她虽然任性了点，但想想大小姐都是那种脾气，在我看来她还是不错的。,
2,24,,219,218,村长姜：年轻人，现在工作不好找啊，我们岛上还有很多人是无业游民呢，不过看你和科勒斯、爱伦都非同一般，要是帮我解决最近岛内的问题，也许我会考虑考虑。,
2,25,,81,80,费洛克：快说什么问题吧，对我探险家费洛克来说都是小事！,
2,26,,204,203,村长姜：外滩上的变异蟹是我们目前最大的威胁，许多岛民都遭受过他们的伤害，前往外滩清除那里的变异蟹，你可以与旁边的热气球对话传送到大地图。,
2,27,,27,26,费洛克：我这就去。,
2,28,,219,218,村长姜：等等，迷失者寻找自我的时候，丢下了许多难题等待勇士去解决，现在我把它们归类成任务了，你可以在我这接些支线任务，当然完成有时会给很好的奖励。,
2,29,,117,116,村长姜：记住，任务有等级区别，星级越高的任务越难完成，但完成后给的奖励很可观！,
2,30,,24,23,费洛克：知道啦！,
2,31,,87,86,村长姜：这些该死的变异蟹今天终于得到了教训，谢谢你，勇士！,
2,32,,99,98,费洛克：这些小问题对我来说真是太简单了，这下该答应我们的要求了吧？,
2,33,,27,26,村长姜：咳，咳……,
