section,index,refs,original_bytes,soft_limit_bytes,original,translated
0,0,0 2 3 55 3 0,165,164,很多年以后，也许有人会记得我，或者记得费洛克这个名字，而我希望能够是她。二十四年前的故事里我是行侠仗义的剑士。,"Nhieu nam sau, co le ai do se nho toi, hoac nho ten Ferok. Toi mong nguoi do la co ay. Chuyen 24 nam truoc, toi la mot kiem si tru gian."
0,1,0 2 3 80 3 0,240,239,二十四年前的我促成了科勒斯和她的神话，而我到底是谁，前世今身，奈何桥下，二十四年后的我用我的故事讲述了另一个我记忆中的科勒斯和爱伦的故事。而我，依然是那个剑士。,"24 nam truoc, toi da tao nen than thoai cua Koles va co ay. Toi la ai? Kiep truoc hay nay? 24 nam sau, toi dung cau chuyen cua minh de ke ve Koles va Ailen trong ky uc. Con toi van la kiem si ay."
0,2,0 2 3 13 3 0,39,38,故事得从二十四年前说起……,Chuyen bat dau tu 24 nam truoc...
1,0,0 2 2 4 3 0,69,68,扎昆山脉尚未开启，请按大地图上指示或查看任务！,Nui Zakun chua mo. Xem Map lon hoac NV!
1,1,0 2 2 4 3 0,69,68,地下宫殿尚未开启，请按大地图上指示或查看任务！,Cung ngam chua mo. Xem Map lon hoac NV!
1,2,0 2 2 3 3 0,66,65,夜色岛尚未开启，请按大地图上指示或查看任务！,Dao dem chua mo. Xem Map lon hoac NV!
1,3,0 2 2 4 3 0,69,68,艾尔森林尚未开启，请按大地图上指示或查看任务！,Rung Ael chua mo. Xem Map lon hoac NV!
1,4,0 2 2 4 3 0,69,68,冰封雪域尚未开启，请按大地图上指示或查看任务！,Vung tuyet chua mo. Xem Map lon hoac NV!
2,0,,63,62,少女詹：爱伦说到外面看看，叫我在此等候你。,"Co gai Jan: Ailen ra ngoai xem, bao toi doi anh o day."
2,1,,63,62,费洛克：喜欢这里吗？你看上去很高兴的样子。,Ferok: Thich noi nay chu? Trong co ve vui lam.
2,2,,102,101,少女詹：还好啊，这里的人虽然很奇怪，但他们都没敌意，比外面舒服多了。,"Co gai Jan: Cung duoc. Nguoi o day la, nhung khong ac y; de chiu hon ben ngoai."
