id,zh_cn,vi_vn,char_len,utf8_len,occurrences
JAVA_ZH_0001,上方向键,Phím Lên,4,12,a.java:255
JAVA_ZH_0002,下方向键,Phím Xuống,4,12,a.java:257
JAVA_ZH_0003,左方向键,Phím Trái,4,12,a.java:259
JAVA_ZH_0004,右方向键,Phím Phải,4,12,a.java:261
JAVA_ZH_0005,数字键0,Phím số 0,4,10,a.java:263
JAVA_ZH_0006,数字键1,Phím số 1,4,10,a.java:265
JAVA_ZH_0007,数字键3,Phím số 3,4,10,a.java:267
JAVA_ZH_0008,数字键5,Phím số 5,4,10,a.java:270
JAVA_ZH_0009,数字键7,Phím số 7,4,10,a.java:272
JAVA_ZH_0010,数字键9,Phím số 9,4,10,a.java:274
JAVA_ZH_0011, * 键,Phím *,4,6,a.java:276
JAVA_ZH_0012, # 键,Phím #,4,6,a.java:278
JAVA_ZH_0013,左软键,Phím mềm trái,3,9,a.java:280
JAVA_ZH_0014,右软键,Phím mềm phải,3,9,a.java:282
JAVA_ZH_0015,获得称号: ,获得Danh hiệu:,6,14,aa.java:447; aa.java:455; aa.java:463; aa.java:881; aa.java:888; aa.java:895; aa.java:902; aa.java:908; aa.java:1021; aa.java:1030; d.java:767; d.java:1047; d.java:1303; d.java:2517; v.java:276; v.java:291; w.java:32
JAVA_ZH_0016,怒气不足,,4,12,aa.java:545; aa.java:1176; aa.java:1500
JAVA_ZH_0017,升至,,2,6,aa.java:867
JAVA_ZH_0018,级,,1,3,aa.java:867
JAVA_ZH_0019,请按,,2,6,aa.java:1133
JAVA_ZH_0020,确定,Đồng ý,2,6,aa.java:1133; ad.java:739; av.java:1158; d.java:804; d.java:812; d.java:816; d.java:820; d.java:1113; d.java:1116; d.java:1118; d.java:1123; d.java:1126; d.java:1629; d.java:1638; d.java:1642; d.java:1647; d.java:1655; d.java:1659; d.java:1668; d.java:1676; d.java:1680; d.java:1685; d.java:1694; d.java:1703; d.java:1712; d.java:1718; d.java:1722; d.java:1871; d.java:1900; d.java:2068; d.java:2076; d.java:2082; d.java:2278; d.java:2283; d.java:2550; d.java:2557; d.java:2561; d.java:2647; d.java:2653; d.java:2801; d.java:2805; d.java:3191; d.java:3218; g.java:104
JAVA_ZH_0021,当前地图不能攻击,,8,24,aa.java:1461
JAVA_ZH_0022,技能未就绪,,5,15,aa.java:1494
JAVA_ZH_0023,魔法不足,,4,12,aa.java:1507
JAVA_ZH_0024,无敌效果结束,,6,18,aa.java:1778
JAVA_ZH_0025,道,,1,3,ad.java:10
